Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
485, 3.05562, 2.79962, 1
486, 2.99402, 2.79853, 1
487, 3.072, 2.99418, 1
488, 3.06211, 2.79942, 1
489, 3.00147, 2.79946, 1
490, 3.0592, 2.99658, 1
491, 3.04538, 2.79542, 1
492, 2.80355, 2.79651, 1
493, 2.85558, 2.99347, 1
494, 2.8409, 2.99181, 1
495, 3.0705, 2.99142, 1
496, 3.07955, 2.79645, 1
497, 3.06938, 2.79757, 1
498, 2.94464, 2.99418, 1
499, 2.88563, 3.00067, 1
500, 2.82038, 3.00179, 1
501, 2.73875, 2.99875, 1
502, 2.7295, 2.9959, 1
503, 2.824, 2.9944, 1
504, 2.79747, 2.99318, 1
505, 2.80381, 2.99376, 1
506, 2.82214, 2.99872, 1
507, 2.79757, 2.99683, 1
508, 2.82378, 2.99418, 1
509, 2.83734, 2.99616, 1
510, 2.82758, 2.9951, 1
511, 3.02221, 2.99334, 1
512, 3.06544, 2.99056, 1
513, 2.94938, 2.80563, 1
514, 2.87798, 3.00483, 1
515, 3.0216, 2.99786, 1
516, 2.94131, 2.99418, 1
517, 2.87165, 2.99418, 1
518, 3.05546, 2.99824, 1
519, 3.05562, 2.79382, 1
520, 3.04698, 2.79984, 1
521, 3.03661, 2.79757, 1
522, 3.06995, 2.79894, 1
523, 2.816, 2.79302, 1
524, 3.01914, 2.99187, 1
525, 3.08074, 2.99213, 1
526, 3.07808, 2.80304, 1
527, 2.74861, 2.79974, 1
528, 3.03574, 2.99827, 1
529, 3.07021, 3.00342, 1
530, 3.06032, 2.79757, 1
531, 2.99882, 2.79613, 1
532, 3.06909, 3.00032, 1
533, 3.06995, 2.79901, 1
534, 3.03334, 2.7953, 1
535, 3.0943, 2.79795, 1
536, 3.00019, 2.79894, 1
537, 3.01789, 2.99994, 1
538, 3.04538, 2.79542, 1
539, 2.80432, 2.79251, 1
540, 2.95693, 2.99168, 1
541, 2.88973, 2.99213, 1
542, 3.0015, 2.99328, 1
543, 3.08118, 2.98877, 1
544, 3.0432, 2.80368, 1
545, 3.09146, 2.80022, 1
546, 3.02899, 2.80835, 1
547, 3.03971, 3.00752, 1
548, 3.06765, 2.79962, 1
549, 3.02435, 2.79962, 1
550, 3.06483, 2.98944, 1
551, 3.05357, 2.79619, 1
552, 3.01261, 2.79904, 1
553, 3.0761, 2.99104, 1
554, 3.06886, 2.79552, 1
555, 3.07277, 2.79488, 1
556, 3.06211, 2.79994, 1
557, 2.99638, 2.79552, 1
558, 3.06995, 2.9944, 1
559, 3.06995, 2.80371, 1
560, 3.04128, 2.79379, 1
561, 3.0048, 2.79533, 1
562, 3.06586, 2.99008, 1
563, 3.07581, 2.796, 1
564, 3.00646, 2.79552, 1
565, 3.05357, 2.99414, 1
566, 3.0657, 2.79139, 1
567, 3.05152, 2.79552, 1
568, 2.83555, 2.79654, 1
569, 2.80688, 2.99008, 1
570, 2.8535, 2.99456, 1
571, 2.81395, 2.98858, 1
572, 2.7344, 2.9929, 1
573, 3.04339, 2.99222, 1
574, 3.03718, 2.80371, 1
575, 2.99622, 3.00237, 1
576, 3.05485, 2.79891, 1
577, 3.01965, 2.99827, 1
578, 3.06675, 2.99517, 1
579, 2.8233, 2.79226, 1
580, 3.06771, 2.99021, 1
581, 3.08838, 2.79574, 1
582, 3.01482, 2.79363, 1
583, 2.82624, 2.79757, 1
584, 2.80576, 2.99386, 1
585, 2.82656, 2.99824, 1
586, 2.82419, 2.9911, 1
587, 3.01456, 2.99213, 1
588, 2.83258, 2.9959, 1
589, 2.8305, 2.99827, 1
590, 2.99043, 3, 1
591, 2.94365, 2.99616, 1
592, 2.87168, 2.98608, 1
593, 3.06595, 2.99523, 1
594, 3.06381, 2.79366, 1
595, 3.01843, 2.79766, 1
596, 3.06995, 2.79456, 1
597, 3.0744, 2.79552, 1
598, 3.0536, 2.79251, 1
599, 3.08051, 2.79552, 1
600, 2.85466, 2.99622, 1
